аз аза
ай ай
алга алг
баш баш
беларуский беларуская
буряад буряад
български български
вашла вашла
вооруженный вооруженных
декомун декомун
дписывать дписав
закони закони
зац зац
збекча збекча
ик ик
ирон ирон
къарачай къарачай
кыргызча кыргызча
лезги лезги
ленинградский ленинградской
македонский македонски
малкъар малкъар
мир мира
мокшень мокшень
монгол монгол
нохчийн нохчийн
нськ нська
область области
оборона оборону
ортс ортса
переименовывать переименовывали
перейменують перейменують
порошенко порошенко
почему почему
расход расходы
рспп рспп
русиньскый русиньскый
русский русский
саха саха
селище селища
сила сил
српский српски
српскохрватски српскохрватски
ссср ссср
статья статьи
сто ста
страна страны
тарашкев тарашкев
татарч татарча
тыл тыла
укр укра
ца ца
цифра цифрах
численность численность
ша ша
